name,price,old_price,link,image,discount,phase,site
M4A1-S,"R$ 3.044,00","R$ 3.900,00",/csgo/rifles/m4a1-s/degrade-fn?itemId=43304608390,,-22%,,Neshastore
Baioneta,"R$ 3.024,00","R$ 3.850,00",/csgo/facas/bayonet/sabedoria-ft?itemId=43202742417,,-21%,,Neshastore
Canivete Flip,"R$ 3.017,60","R$ 3.900,00",/csgo/facas/flip-knife/teia-rubra-mw?itemId=43536788253,,-23%,,Neshastore
Faca Talon,"R$ 2.999,99","R$ 4.050,00",/csgo/facas/talon-knife/teia-rubra-ft?itemId=43280997786,,-26%,,Neshastore
Faca Talon,"R$ 2.983,68","R$ 4.000,00",/csgo/facas/talon-knife/ultravioleta-ft?itemId=43079697370,,-25%,,Neshastore
Faca Talon,"R$ 2.921,52","R$ 4.000,00",/csgo/facas/talon-knife/ultravioleta-ft?itemId=43217021019,,-27%,,Neshastore
FN,R$ 507Â 536.36,,,https://cs.money/assets/rs:fit:140:105:0/q:100/f:webp/dpr:1/plain/https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DAQ1JmMR1osbaqPQJz7ODYfi9W9eOxhoWOmcj4OrzZgiUGvpEn3-yUp9usiVXtqEJsZ2nycIaWdlU8aFHT_AO5yOu6hMTuvJic1zI97ZFyOF04,,,CS.Money
EMS Katowice 2014 Challengers,R$ 170Â 486.97,,,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsQEl9Jg9SpIW1KgRr7PjJZW8SvYiJxNHFxaajauOClG1SucYo3bqQotWl21Xm_hE5Mjv1Io6QdANvNVzR_QToyfCv28GZlomvBA,,,CS.Money
EMS Katowice 2014 Challengers,R$ 198Â 901.47,,,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsQEl9Jg9SpIW1KgRr7PjJZW8SvYiJxNHFxaajauOClG1SucYo3bqQotWl21Xm_hE5Mjv1Io6QdANvNVzR_QToyfCv28GZlomvBA,,,CS.Money
FN,R$ 125Â 018.10,,,https://cs.money/assets/rs:fit:140:105:0/q:100/f:webp/dpr:1/plain/https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf0ebcZThQ6tCvq4GGqPL5NqnQmm9u5cRjiOXE_JbwjGu4ohQ0J3f7ItKdI1U3NFGFrAXrxLzrh8e6usibnCAx73FxtivYyhey104Zaedum7XAHh4AoVRq,,,CS.Money
FN,R$ 130Â 700.99,,,https://cs.money/assets/rs:fit:140:105:0/q:100/f:webp/dpr:1/plain/https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf0ebcZThQ6tCvq4GGqPL5NqnQmm9u5cRjiOXE_JbwjGu4ohQ0J3f7ItKdI1U3NFGFrAXrxLzrh8e6usibnCAx73FxtivYyhey104Zaedum7XAHh4AoVRq,,,CS.Money
FN,R$ 142Â 072.48,,,https://cs.money/assets/rs:fit:140:105:0/q:100/f:webp/dpr:1/plain/https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf0ebcZThQ6tCvq4GGqPL5NqnQmm9u5cRjiOXE_JbwjGu4ohQ0J3f7ItKdI1U3NFGFrAXrxLzrh8e6usibnCAx73FxtivYyhey104Zaedum7XAHh4AoVRq,,,CS.Money
Sticker | Vox Eminor (Holo) | Katowice 2014,R$ 130Â 706.62,,,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXQ9QVcJY8gulRYQV_bRvCiwMbQVg8kdFAYoLW9Lgpp3fzaTjVN4NP4kdeJz_P2arjXxm5Sv5Aj0rvAo9miiVG38ktpYmrwddDAdg83ZlnQqU_-n7mzJ7zSUw,,,CS.Money
Sticker | Vox Eminor (Holo) | Katowice 2014,R$ 164Â 804.07,,,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXQ9QVcJY8gulRYQV_bRvCiwMbQVg8kdFAYoLW9Lgpp3fzaTjVN4NP4kdeJz_P2arjXxm5Sv5Aj0rvAo9miiVG38ktpYmrwddDAdg83ZlnQqU_-n7mzJ7zSUw,,,CS.Money
FN,R$ 110Â 337.29,,,https://cs.money/assets/rs:fit:140:105:0/q:100/f:webp/dpr:1/plain/https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf0ebcZThQ6tCvq4GGqOXhMaLum2pD6sl0g_PE8bP5gVO8v11tZGmgINfDJAU_NArYqVO8weq80ZXvuZ_Pm3NluSNz5n7dm0Phgk4YcKUx0gttBNHX,,,CS.Money
FN,R$ 110Â 816.53,,,https://cs.money/assets/rs:fit:140:105:0/q:100/f:webp/dpr:1/plain/https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf0ebcZThQ6tCvq4GGqOXhMaLum2pD6sl0g_PE8bP5gVO8v11tZGmgINfDJAU_NArYqVO8weq80ZXvuZ_Pm3NluSNz5n7dm0Phgk4YcKUx0gttBNHX,,,CS.Money
FN,R$ 114Â 166.26,,,https://cs.money/assets/rs:fit:140:105:0/q:100/f:webp/dpr:1/plain/https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf0ebcZThQ6tCvq4GGqOXhMaLum2pD6sl0g_PE8bP5gVO8v11tZGmgINfDJAU_NArYqVO8weq80ZXvuZ_Pm3NluSNz5n7dm0Phgk4YcKUx0gttBNHX,,,CS.Money
FN,R$ 120Â 733.76,,,https://cs.money/assets/rs:fit:140:105:0/q:100/f:webp/dpr:1/plain/https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf0ebcZThQ6tCvq4GGqOXhMaLum2pD6sl0g_PE8bP5gVO8v11tZGmgINfDJAU_NArYqVO8weq80ZXvuZ_Pm3NluSNz5n7dm0Phgk4YcKUx0gttBNHX,,,CS.Money
FN,R$ 125Â 023.78,,,https://cs.money/assets/rs:fit:140:105:0/q:100/f:webp/dpr:1/plain/https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf0ebcZThQ6tCvq4GGqOXhMaLum2pD6sl0g_PE8bP5gVO8v11tZGmgINfDJAU_NArYqVO8weq80ZXvuZ_Pm3NluSNz5n7dm0Phgk4YcKUx0gttBNHX,,,CS.Money
EMS Katowice 2014 Legends,R$ 139Â 230.97,,,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQNqhpOSV-fRPasw8rsQEl9Jg9SpIW1KgRr7PjJZW8SvYiJxNLFwKbyYb6IlztS6pV02e-U84rwiQPt_hVva2jzIY7AIVQ2ZVnV-AW2wfCv28H8FFIR5w,,,CS.Money
ST,R$ 153.38,,,https://cs.money/assets/rs:fit:140:105:0/q:100/f:webp/dpr:1/plain/https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgposbaqKAxf0Ob3djFN79eJg4GYg_L4MrXVqXlU6sB9teXI8oThxlaxqhE_ZGj6I9OccFQ3YwmE-1C5x-u61sC0tM7JwSAy6ydx4XqOnxepwUYbufdxgq4,,,CS.Money
ST,R$ 261.36,,,https://cs.money/assets/rs:fit:40:40:0/q:100/f:webp/dpr:1/plain/https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/katowice2019/nip_foil.578b5d7cb3e5cb6d80916863f0b170e666de61ff.png,,,CS.Money
ST,R$ 346.60,,,https://cs.money/assets/rs:fit:140:105:0/q:100/f:webp/dpr:1/plain/https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgposbaqKAxf0Ob3djFN79eJg4GYg_L4MrXVqXlU6sB9teXI8oThxlaxqhE_ZGj6I9OccFQ3YwmE-1C5x-u61sC0tM7JwSAy6ydx4XqOnxepwUYbufdxgq4,,,CS.Money
ST,R$ 408.49,,,https://cs.money/assets/rs:fit:140:105:0/q:100/f:webp/dpr:1/plain/https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgposbaqKAxf0Ob3djFN79eJg4GYg_L4MrXVqXlU6sB9teXI8oThxlaxqhE_ZGj6I9OccFQ3YwmE-1C5x-u61sC0tM7JwSAy6ydx4XqOnxepwUYbufdxgq4,,,CS.Money
ST,R$ 429.63,,,https://cs.money/assets/rs:fit:40:40:0/q:100/f:webp/dpr:1/plain/https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/cologne2015/kinguin_foil.4e27b2d88f7b5193933a03d8381af9c5ad0a5754.png,,,CS.Money
